Username,Rank,Total Score,Last AC,P1,P2,P3,P4,P5,P6,P7,P8,Problems Solved,P1_score,P2_score,P3_score,P4_score,P5_score,P6_score,P7_score,P8_score,Rank_num,TotalScore_num,LastAC_days,num_attempted,avg_problem_score,max_problem_score,std_problem_score
tharan_2005,3071,Total Score,1:07:45,100,100,100,100,-,-,-,-,4,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,3071,-1.0,-1,4,50.0,100.0,53.45224838248488
navin_zoro777,4071,Total Score,1:27:37,100,100,100,100,-,-,-,-,4,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,4071,-1.0,-1,4,50.0,100.0,53.45224838248488
ganesh_mal,4930,Total Score,1:47:17,100,100,100,100,-,-,-,-,4,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,4930,-1.0,-1,4,50.0,100.0,53.45224838248488
kishorraguramg,5864,Total Score,0:13:28,100,100,100,-,-,-,-,-,3,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,5864,-1.0,-1,3,37.5,100.0,51.75491695067657
sharan_06,7255,Total Score,0:26:46,100,100,100,-,-,-,-,-,3,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,7255,-1.0,-1,3,37.5,100.0,51.75491695067657
mon_eshwar_r_5,8023,Total Score,0:32:28,100,100,100,-,-,-,-,-,3,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,8023,-1.0,-1,3,37.5,100.0,51.75491695067657
agspades,8224,Total Score,0:34:08,100,100,100,-,-,-,-,-,3,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,8224,-1.0,-1,3,37.5,100.0,51.75491695067657
thanarangan_s,8758,Total Score,0:38:11,100,100,100,-,-,-,-,-,3,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,8758,-1.0,-1,3,37.5,100.0,51.75491695067657
jeevananthams2,8933,Total Score,0:39:37,100,100,100,-,-,-,-,-,3,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,8933,-1.0,-1,3,37.5,100.0,51.75491695067657
elite_joe_06,9558,Total Score,0:44:25,100,100,100,-,-,-,-,-,3,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,9558,-1.0,-1,3,37.5,100.0,51.75491695067657
mugilanv2023ec,10279,Total Score,0:50:07,100,100,100,-,-,-,-,-,3,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,10279,-1.0,-1,3,37.5,100.0,51.75491695067657
vishwaridha,10416,Total Score,0:51:31,100,100,100,-,-,-,-,-,3,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,10416,-1.0,-1,3,37.5,100.0,51.75491695067657
